数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
3,9.78756E+12,,,乌有园02 ：绘画与园林,168,同济大学出版社,著,Jan-17,,,,在2014年12月出版《乌有园*辑：绘画与园林》之后，两位编者王欣和金秋野继续借助&ldquo;乌有园&rdquo;系列，总结并呈现近年国内学者和建筑师对中国传统园林文化及其当代传承的探讨成果。除了两位编者的理论文章、实践作品之外，《乌有园第二辑：幻梦与真实》更邀请了董豫赣、李兴钢、鲁安东、宋曙华等其他诸位作者，从&ldquo;作品&rdquo;&ldquo;研究&rdquo;&ldquo;视野&rdquo;等不同角度，探讨传统绘画、园林与当代建筑设计语言的转化关系。本辑秉承了*辑的学术严谨风格，在内容上亦涵盖了传统文化、园林、艺术、历史、建筑等范围，因此无论是建筑学专业读者、学者或是社会人文领域研究者、学生，或是任何对中国书画、器物、园林等传统文化感兴趣的普通读者，都会在阅读本书的过程中体悟到一些&ldquo;幻梦&rdquo;或&ldquo;真实&rdquo;。 ,,,
7,9.78756E+12,,,乌有园03,148,同济大学出版社有限公司,金秋野、王欣,Nov-18,,,,本书为“乌有园”系列的第三辑。“乌有园”系列出版物关注靠前在传统设计语言之现代转化方面的积极探索，涵盖理论与实践（包括实验性作品）两个方面，内容以建筑为主，也关注造型艺术、绘画、文学等相关领域的很新进展。由金秋野和王欣轮流担任学术主持，采取约稿方式，邀请靠前外相关领域学者撰文。本辑关注“观想与兴造”，除了延续前两辑已有的研究、作品、教学、视野等栏目外，内容上新增了一个研究斯里兰卡建筑大师杰弗里？巴瓦的专题，包含金秋野、董豫赣等人的四篇文章。,,,
1,9.78756E+12,,书架1,如画观法,228,同济大学出版社,王欣（著）,Dec-15,,,,　　《如画观法》是作者王欣对传统中国山水画中空间营造的结构意识与观想方法的探讨，并借助此视角，展开绘画语言向当代建筑设计转化的一条途径，展望一种“师法自然”的设计思路，借此试图寻找中国本土建筑学的诗性几何。,,,
4,9.78756E+12,,,空间再现：断裂与修复,68.17,同济大学出版社,夏铸九,May-20,,,,本书是台湾建筑学者夏铸九的专业评论文集，全书共分为四个章节：理论辩论、历史保存、建筑与城市史：关于大学校园、建筑与城市史：专业与专业教育。其内容包括都市史的课程导读、亚洲建筑与城市研究、台湾地区城市与建筑建筑分析、全球化信息化时代的大学及校园建设反思等。本书收录在南京大学建筑系胡恒教授主编的“当代史”丛书之中。“当代史”重点关注在当下社会中发生的重大的建筑、城市活动，以新颖的历史研究方法，观察这些活动对于当下乃至于未来的影响，观察其历史意义。,,,
2,9.78756E+12,,墩子1,十谈十写,59,同济大学出版社,王辉 (建筑学) 著,Apr-16,,,,本书收录了《建筑作为开放的作品》《空间的质量》《物质性和图像性》《教育和批判》《世界和本土》《可以预见的未来》《可能的十年》等文章。,,,
6,9.78756E+12,,墩子2,长夜的独行者,42,同济大学出版社,张琴,Oct-18,,,,童�，字伯潜，中国当代杰出的建筑师、建筑教育家。依他的故友、著名建筑师陈植的看法， 老童是中国建筑界在理论、创作、著述、绘画方面*的杰出全才。 1983 年 3 月 28 日，童�在南京逝世。家人反复商议后决定在墓碑上只刻上姓名和生卒日期。童�曾经为自己刻过一枚私章：童�建筑师。然而去世时，他放弃建筑师的职业已 30 多年。 童�留下了大量的文字和材料。而关于童�自身的记录却寥寥无几，这也是张琴写这本《长夜的独行者》的初衷。在张琴看来，不管自己或别人，以童�为题做了什么写了什么，他其实并不在意。《长夜的独行者》只是在整理，在作者所及的资料范围，把相关人的回忆串联在一起，以呈现一个鲜活真实的童�。,,,
2,9.78756E+12,,,长安的传奇,88,同济大学出版社,唐克扬,Dec-17,,,,"本书用文学叙述的方式阐述中唐之后中国都会出现的一个重大变化, 即魏晋以来封闭的里坊制城市向“清明上河图”式的市民城市的转变。",,,
1,9.78756E+12,,,王骏阳建筑学论文集：理论·历史·批评（一）,98,同济大学出版社,王骏阳著,Nov-17,,,,本书收录《理论何为？——关于建筑理论教学的思考》《空间、建造、表皮——论赫佐格与德默隆早期的建筑艺术》《都会田园中的建筑悬浮——评斯蒂文·霍尔的深圳万科中心》《对大舍建筑的几点见解》等文章。,,,
1,9.78756E+12,,,王骏阳建筑学论文集：阅读柯林·罗的《拉图雷特》（二）,88,同济大学出版社,王骏阳 著,Nov-18,,,,本书收录了建筑理论学者王骏阳教授自2005年以来陆续写成的关于柯林·罗（Colin Frederick Rowe，20世纪为重要的建筑理论家、评论家、历史学家和教育家之一）研究的文章，其中既有译著的导读，也有翻译过程中的心得体会和相关文献资料的研究；既有教学资料的记录和整理，也有会议发言的后续成文。,,,
2,9.78756E+12,,,宅在故宫边,69,同济大学出版社,张清帆,Jul-13,,,,　　在我们的文化里，最具诗意的生存蓝本——见于园林遗存、文字记述和古画皴染的生机，是浸润在文明中、经由情感和智性梳理出的一片乡野，这应当能够成为现代居住理想的来源，嫁接在现代生活之上，使之成为诗意生长的容器。,,,
4,9.78756E+12,,墩子2 抽屉2,陈从周造园三章,296,同济大学出版社,陈从周,Nov-18,,,,本书详细介绍了陈从周先生三个园林的设计和修建。,,,
1,9.78756E+12,,,营山造海,98.1,同济大学出版社,薛求理著,Oct-15,,,,本书聚焦战后70年来香港建筑的形成、机制、事件、作品和人物。介绍了战后重建的求存拮据和1980年代的起飞辉煌，涉及公共建筑、公共屋邨建设，也谈到私人开发项目，同时记录了1950年代在香港实践的建筑师以及战后成长起来的本土代表人物的成长历程和作品。,,,
2,9.78756E+12,,墩子5,福州市历史建筑保护利用案例指南,88.79,同济大学出版社,霍晓卫（著）杨勇（著）,Mar-20,,,,福州市为住建部2018年指定的十个历史建筑保护利用试点城市之一。本书以精选的18个福州历史建筑保护利用示范项目为基础，对福州历史建筑保护利用工作亮点进行了系统的梳理，并提炼出可推广的历史建筑保护利用评价体系。主要内容包括：福州历史建筑保护利用历程；福州历史建筑保护利用工作评估要点；福州历史建筑地图；福州历史建筑保护利用案例（18个）等。,,,
2,9.78756E+12,,,花园里的花园,88.97,同济大学出版社,金秋野,Jan-20,,,,本书是作者多年的建筑学论文集，以“花园里的花园”这种自然观念为全书主旨，围绕“人工与自然的关系”编排各篇目。包括对巴瓦、赖特的建筑及思想评论，作者自宅的设计及随笔，关于建筑评论的文体问题、建筑教育、明代小说插画空间语言等杂文，与城市的变化相关的设计、龙美术馆的建筑评论，以及两篇对谈。,,,
2,9.78756E+12,,,深圳竞赛：深圳城市/建筑设计国际竞赛（1994-2014）,198,同济大学出版社,深圳市规划和国土资源委员会(市海洋局)编,Jan-17,,,,本书主要内容包括深圳新建筑的背后: 深圳公开竞标制度的探索与实践 ; 深圳在场: 关于深圳建筑竞赛的访谈 ; 深圳竞赛十六则等。,,,
2,9.78756E+12,,,凤凰中心：为明天而设计,358,同济大学出版社,邵韦平  编著,Oct-17,,,,本书呈现了凤凰中心项目从抽象形式的生成、形体的优化，到制造业标准的几何逻辑构建，建筑学意义的创新结构体系，弥合自由曲面的幕墙表皮，基于整体设计理念的机电统筹，以及最后形成的空间效果。,,,
0,,,,上海制造 第1版,,同济大学出版社,,,,,,,,,
7,9.78756E+12,,,上海制造 第2版,52,同济大学出版社,李翔宁（著）李丹峰（著）江嘉伟（著）,Jan-14,,,,　　《上海制造》是来自上海和东京的两位当下非常活跃的著名建筑学者联合编著的研究上海城市、建筑特点、现状的书，全书以大量调研素材为基础，选取最能反应上海城市特点的近百个建筑或城市片段进行研究分析，包括上海商城、上海展览中心、东方明珠、莫干山路50号、外滩美术馆、猪笼寨、天目西路高架综合体、虹桥枢纽、黄浦江西南路通风塔等。,,,
5,9.78756E+12,,,三分院,69,同济大学出版社,曹群（著）白蓝（著）赵格（著）,Jun-19,,,,《三分院》以白蓝京郊院子生活为叙事语境，围绕日常生活与传统家具（以明式家具为代表）之间的相互影响展开描述，将传统家具的研究置于日常生活的空间场景中，以四季的时光串联起来，如同一幅小院的春秋手卷，展之，微风拂面。,,,
3,9.78756E+12,,,绘长沙：太平街,98,同济大学出版社,王蔚、高青、易锦田、涂宇浩,Aug-17,,,,想了解长沙的人文典故、历史名胜？ 想了解长沙的文艺和市井生活？ 想了解长沙当下的活色生鲜？ 《绘长沙 太平街》绘出了你想知道的一角，带你走进长沙的历史街巷，品尝小吃，赏玩古建 本书作为 绘筑中国 系列丛书的*本，延续了 一点儿北京 系列的思想，用建筑师的视角和语言图绘出长沙著名历史人文街区 太平街，可作为旅游指南，也可一窥长沙的市井风情。,,,
20,9.78756E+12,,,营国,88,同济大学出版社,王鲁民 著,Dec-17,,,,,,,
1,9.7873E+12,,,郭洞村,72,清华大学出版社,楼庆西（著）,Aug-07,,,,　　描述郭洞村的书院、文人建筑和宝泉岩等名胜古迹。书末的图版篇，则以总测绘图和居住、公共、庙宇、礼制、文化等建筑的平面、立面、剖面图展示建筑的布局，结构和精美雕饰。2003年，郭洞村被中华人民共和国建设部和国家文物局评选为第一批中国历史文化名村。本书带你走进这座宛如世外桃源的古村落，流连山水之间，感受生态与居住完美结合的乡土文化这魅力。,,,
3,9.78756E+12,,,「龙·计划」五龙庙的故事,108,同济大学出版社,群岛工作室都市实践北京建筑设计咨询有限公司 (编),Aug-17,,,,本书详实记录了五龙庙环境整治项目的前后始末，并将“龙·计划”作为一个文保理念加以阐述。除了项目全过程的大量设计图纸、图片外，还将包含数篇对五龙庙本身的介绍文章，以及来自王辉、鲁安东、吕舟、周榕等人的对整治项目的评论文章。,,,
2,9.78756E+12,,,玖章造园,70,同济大学出版社,秦蕾,Dec-16,,,,,,,
2,9.78756E+12,,,造园实录,118,同济大学出版社,王宝珍著,Oct-17,,,,"本书稿详细介绍到三个园子的设计、建造和实际效果, 以及围绕这三个园林的实践进行的对话和评论。三个园子分别为容园、椭园、竹可轩虎房, 作者分别用实景照片、图纸、造园笔记、工法匠作及园子建成之后的反思教训方面, 详细介绍到园子从设计到建成后的方方面面。访谈和评论, 着重从多角度观察和评议三个项目, 引发思考。",,,
13,9.78756E+12,,,孔子故里 曲阜,128,同济大学出版社,林志宏,Apr-17,,,,本书是中外学者关于曲阜历史遗产观点的论文集，共含9篇论文（原文分别为法语、中文和英文），分三个章节，分别针对曲阜历史沿革、文化遗产、风貌特色及“欧盟亚洲城乡曲阜计划――曲阜历史文化名城的可持续发展”作深入浅出的介绍。希望透过本书，可以让人们从历史的发展进程走近这古老的城市，一起去了解曲阜历史文化遗产保护发展概况，一同思考：如何保护鲁国故里及儒家学术重镇整体意含性的难题。,,,
7,9.78756E+12,,,连接 共享未来的公共空间 this connection,258,同济大学,徐毅松  主编,Jun-18,,,,本书是2017届上海城市空间艺术季主展览的画册出版物，主要介绍主展览的主题，展场作为城市公共空间的再激活等，分为五大类的各参展项目，附录中展览主办架构的介绍等。2017上海城市空间艺术季主展览以“连接this CONNECTION：共享未来的公共空间”为主题，讨论在当代城市进程中的公共空间的未来，如何将各种原因形成的断裂转化为连续开放、可达舒适的人性化高品质公共空间。,,,
1,9.78756E+12,,,2015上海城市空间艺术季案例展,178,同济大学出版社,庄少勤 主编,Jul-16,,,,本书是两年一届的空间艺术季活动的重要成果之一。全书分两册，本册为实践案例部分，包含所有十五个案例的空间创作和实践成果，选择与百姓生活密切相关的公共空间，如传统街区、工业遗产、市政设施、绿化广场、社区空间等，通过国际策展与公开征集等多种方式，展示城市空间公共艺术改造方案及实施效果。,,,
6,9.78756E+12,,,平民设计 日用即道,108,同济大学出版社,左靖主编,May-16,,,,,,,
14,9.78756E+12,,,栖居之重——全球背景下的上海近现代住宅设计,56,同济大学出版社,杨之懿（著）蜗牛工作室（著）,Mar-15,,,,　　这是一个长线研究计划的分题，这个计划历时数年，希望从一些特定角度来审视“上海式”都市进化和建筑演变的现代化历程，以及其中带有普遍性的城市特征，同时尝试讨论形式形成的基础和可能走向。　　《栖居之重：全球背景下的上海近现代佳宅设计》分为发展回溯、案例重绘、样本测试三个部分。第一部分以论文图表为主体，对上海主要住宅形式——里弄、工人新村以及公寓大楼作了历史整理和调研分析，并与西方同时期或者同类型的建筑案例作对照比较。第二部分是22个上海近现代住宅案例实录以及12位现当代国际建筑师集合住宅户型的归类和比较。第三部分是选定场地条件下的样本测试，将上海住宅区的发展方向和程度放在一个多样化的“标准”背景中去思考其形式取舍。,,,
6,9.78756E+12,,,建筑师王大闳,298,同济大学出版社,徐明松（著）,Oct-14,,,,《建筑师王大闳1942—1995》是台湾建筑史学者、评论家徐明松多年来对王大闳建筑成就的研究成果，不仅以专论形式收录了对其中39个建筑案例的评述，更以文献形式详尽记录了王大闳先生的所有建筑作品，以及他在文学方面的创作。读者从中不仅可了解到王大闳建筑实践的特点及演变、一些重大项目的前后始末，更可窥得一位建筑师在动荡大局下的人生际遇。,,,
4,9.78756E+12,,,承孝相 建筑档案,128,同济大学出版社,(韩)承孝相 (1952-) 著,May-17,,,,本书是韩国著名建筑师、履露斋建筑事务所创始人承孝相对自己过去二十五年工作成果的总结，按年表顺序，描述了事务所在他领导下进行的30多个建筑及规划项目。,,,
1,9.78893E+12,,,Seung H-sang Document,,同济大学出版社,,,,,,,,,
3,9.78756E+12,,,形式与政治 建筑研究的一种方法,88,同济大学出版社,朱剑飞著,Jan-18,,,,,,,
1,9.78711E+12,,,建构文化研究——论19世纪和20世纪建筑中的建造诗学,68,中国建筑工业出版社,弗兰姆普敦（著）王骏阳（译）,Jul-07,,,,　　《建构文化研究：论19世纪和20世纪建筑中的建造诗学》是肯尼思·弗兰姆普敦（KennethFrampton）继他的经典著作《现代建筑——一部批判的历史》之后又一部令人翘首以待的宏篇巨著，必将对现代建筑发展的讨论产生深远的影响。一言以蔽之，《建构文化研究》是对整个现代建筑传统的重新思考。弗兰姆普敦探讨的建构观念将建筑视为一种建造的技艺，它向迷恋后现代主义艺术的主流思想提出有力的挑战，并且展现了一条令人信服的别开生面的建筑道路。确实，弗兰姆普敦据理力争的观点就是，现代建筑不仅与空间和抽象形式息息相关，而且也在同样至关重要的程度上与结构狈建造血肉相连。组成《建构文化研究：论19世纪和20世纪建筑中的建造诗学》的十个章节和一篇后记追根溯源，努力挖掘当代建筑形式作为一种结构和建造诗学的发展历史。弗兰姆普敦对18世纪以来法兰西、日耳曼和不列颠建筑史料的近距离解读为《建构文化研究：论19世纪和20世纪建筑中的建造诗学》的理论框架提供了坚实的基础。他清晰地阐述了结构工程与建构想象是以何等不同的方式呈现在佩雷、赖特、康、斯卡帕和密斯的建筑之中，以及建造形式和材料特征是如何在这几位建筑师的建筑表现中发挥相辅相成的作用的。此外，弗兰姆普敦的分析还表明，这些元素贯穿在某位建筑师作品中的方式毒就构成了评判该建筑师整体建筑发展的基础。这一点尤其突出地体现在弗兰姆普敦对佩雷、密斯和康的建筑作品和思想态度的历史成份的分析之中。,,,
1,9.78751E+12,,,建筑文化研究4,78.00元,中央编译出版社,胡恒编,Aug-12,,,,《建筑文化研究(第4辑)》由胡恒主编。《建筑文化研究(第4辑)》主要内容包括革命史·快感·现代主义、南京长江大桥、大跃进中的人民大会堂、历史“计划”、先锋派的历史性：皮拉内西和爱森斯坦、重建的时代、两次死亡之间等。,,,
3,9.78756E+12,,,建筑文化研究5,79,同济大学出版社,胡恒（著）,Dec-13,,,,　　《建筑文化研究5》是由南京大学建筑与城市规划学院、南京大学人文社会科学高级研究院主办、胡恒主编的建筑理论文集，每辑由来自大陆及港澳台地区的多位学者撰写或翻译理论文章，具有极高的学术价值。本辑收录了两地多位学者的建筑研究性文章，另有塔夫里的数篇重要文献，对于建筑院校师生、建筑学者、文化学者及大众读者而言，都将大有裨益。,,,
38,9.78756E+12,,,建筑文化研究6,79,同济大学出版社,胡恒主编,Dec-14,,,,NULL,,,
5,9.78756E+12,,,建筑文化研究7,79,同济大学出版社,胡恒  主编,Dec-15,,,,本书内容包括：哈德良时期的建筑及其几何学、“认知与机制：中西‘建筑’体系之比较”、体积法、教学、报告四则、十五世纪的对照研究等。,,,
0,9.78756E+12,,,建筑文化研究8,79,同济大学出版社,胡恒  主编,Dec-16,,,,本书主题为“塔夫里与现代主义”。内容包含不同背景下的学者对塔夫里“世界史写作”的几个专题的分析研究，以及塔夫里的几篇代表作。,,,
2,9.78756E+12,,,建筑文化研究9,79.22,同济大学出版社,胡恒,Oct-20,,,,《建筑文化研究第9辑》主题是“历史与批判”。全书分为五大部分内容：空间、文本、文献、访谈、书评。前两部分为本书主体内容，分别针对“历史空间”与“历史文本”——希望将之前第4至6辑针对“当代史”系列的研究与第8辑塔夫里的历史方法论放在一起，延续关于中国建筑的历史批判的构想。,,,
1,9.78756E+12,,,久违的现代：王大闳建筑文献集,128,同济大学出版社,本书编委会,Mar-17,,,,当今所有领域都在谈传统文化，中国现代建筑的传统何在？上世纪有些快要被遗忘的传统和探索，值得我们思考：&ldquo;王大闳先生更多是从现代主义的语言出发，要往中国的文化靠拢，嫁接一些传统的东西；而冯先生更多似乎是从中国传统的东西出发，再往现代主义的方向靠。&rdquo; 把王大闳和冯纪忠的作品放在一起讨论，可以呈现从不同出发点向相同的路径靠拢的不同现代性路径。二十世纪中国建筑中的现代主义传统，它们从来都有，虽然比较微弱，但值得我们思考和延续。 ,,,
1,9.78756E+12,,,遗忘之场 sites of amnesia,68,同济大学出版社,胡恒,Sep-18,,,,当下的建筑、城市活动已不是单纯的学科或专业行为，它与社会的深层结构运动休戚相关，与每个人的生活密不可分。本丛书以个案研究为切入点，将其抽离出时下语境，使之与历史产生联系，建构新的历史周期，使之成为历史脉络中的一个环节，进而产生历史意义。本书内容涉及：1、革命史、快感、现代主义；2、中华路26号；3、作为受虐狂的环境。,,,
2,9.78756E+12,,,建筑退化论,69,同济大学出版社,阮庆岳（著）,Oct-14,,,,　　《建筑退化论：哲学·文学·社会》从哲学、文学、社会三大视角论述当代建筑，既有对空间、美学等建筑学永恒论题的文学性阐释，也有对台湾当代建筑师与建筑作品的评介，以及对城市与建筑等社会性话题的论述，观点独特。,,,
2,9.78756E+12,,,后激进时代的建筑笔记,59,同济大学出版社,朱亦民著,Aug-18,,,,本书收录了作者自1993年以来所写的建筑评论、历史研究、访谈和有关设计问题的随笔，共计23篇。,,,
3,9.78756E+12,,,建筑师在做什么 第一辑,406.53,同济大学出版社,有方空间文化发展有限公司,Nov-15,,,,《建筑师在做什么（第一辑）》是对国内取得一定成就的80位建筑师的访谈录，了解这些知名建筑师当下在做什么，他们对建筑的思考以及探索。《建筑师在做什么（第一辑）》由有方空间编辑、制作、排版，我们负责印前工作。读者对象包括建筑师、建筑学专业读者、文化学者、普通读者群。相信有较好的社会影响和经济收益。,,,
10,9.78756E+12,,,建筑师在做什么 第二辑,68,同济大学出版社,有方 编,Aug-18,,,,《建筑师在做什么（第二辑）》是对靠前取得一定成就的80位建筑师的采访，了解这些知名的建筑师当下在做什么以及他们对于建筑的思考以及探索。相信本书将有较高的社会影响力和一定的经济收益。读者对象包括城市、建筑领域专业读者群以及一些行业外读者群。,,,
3,9.78756E+12,,,小侦探 the little detective,298,同济大学出版社,张永和YUNG（著）HO（著）CHANG（著）,Jan-16,,,,　　张永和创作并亲笔绘制的悬疑侦探故事绘本，全书包含四本装帧工艺各不相同的精美单册，分别为“绘本”“文本”“翻本”“彩本”，全手工装帧，极具欣赏和收藏价值。绘本故事贯穿了张永和多年来着迷的侦探主题和他关注的某些建筑概念。全书中英双语，均由张永和亲自撰写。,,,
1,9.78756E+12,,,绘本非常建筑,398,同济大学出版社,张永和（著）,Jan-14,,,,　　《绘本非常建筑》收录了非常建筑事务所二十年来最重要的31个代表作，从建筑设计到产品设计、展览、装置等，以独创的绘本语言，讲述了每个作品的设计概念、过程以及其中所涉及的一些建筑理论历史概念乃至艺术概念，例如PeterCook的事件城市，屈米的策划建筑，柯布的地毯城市，巴西的粗野主义建筑，杜尚的现成品艺术等等。《绘本非常建筑》不仅是张永和/非常建筑事务所二十年设计实践与思想发展的最完整最总结，也是折射中国当代建筑、设计发展过程的重要内容。《绘本非常建筑》历时多年完成，策划、编辑及绘制花费了极大精力人力，信息量巨大，是张永和继《非常建筑》和《作文本》以来最重要之力作。,,,
1,9.78756E+12,,,表面建筑,65,东南大学出版社,"(美)莱瑟巴罗 (Leatherbarrow, David) 著",Feb-17,,,,本书作者从表皮在理论和实践上独立为建筑设计的一个基本问题来开始他们的论述。表皮的自主性，即现代主义所谓的“自由立面”，以结构与表皮、框架与覆面之间的差异与分离为前提。一旦表皮独立于结构，它便可以像是帘幕或者衣服一样悬挂在那里。但无论这一表皮是由混凝土、钢、玻璃，或者别的材料做成，它可并非只是肤浅的饰物，事实上它塑造了空间，而建筑正是因为这种空间方才得以实现其交流的功能。也是通过这一表面，建筑既独立于环境，同时又介入和参与到环境中来。结构与表皮之关系的焦点便是建筑的表面，作者追溯了历史上处理建筑表面的不同方式。在这一过程中，他们既研究了当代建筑，也包括了近现代建筑实例。书中讨论的建筑师包括了阿尔伯特·康，密斯·凡·德·罗，艾莉森·史密森和彼得·史密森夫妇，德·拉·索塔，罗伯特·文丘里，赫尔佐格和德穆隆。,,,
1,9.78756E+12,,,结构制造：日本当代建筑形态研究,69,同济大学出版社,郭屹民,Nov-16,,,,日本现代建筑新颖抽象的形式，总是能给我们很多启发。而形态背后更深层的建筑形态与观念、结构设计之关系则少有人问。,,,
3,9.78756E+12,,,建筑结构创新工学,69,同济大学出版社,日本建筑学会（著）解文静（译）,Jun-15,,,,　　Archi-NeeringDesign，即结构设计与建筑设计融合、发展的结果。本次AND展览旨在揭示建筑设计与结构设计的关系，展示其发展的历史进程以及对未来建筑的启示。展览的主要内容是学生们制作的手工模型，主题是“用模型体验世界的建筑”。《建筑结构创新工学》以极为简明、清晰的方式，选取全世界具有代表性的200个建筑案例，按照9种分类，分析了20世纪建筑与技术的主要发展，并进而展现出新的日本及全世界的建筑结构技术成果，从而将我们引向何为未来建筑永续之道的思考。,,,
10,9.78756E+12,,,小菜场上的家1,38,同济大学出版社,王方戬,Mar-14,,,,《小菜场上的家》是对2012 年秋季同济大学建筑与城市规划学院2010 级实验班三年级建筑设计课教学活动，以及围绕这个活动所进行的教学讨论的梳理和总结。该实验班由张永和负责课程教学组织指导，由年轻活跃的教师组成教学团队，包括王方戟、张斌、水雁飞、柳亦春、祝晓峰、王彦，并邀请日本东工大系主任奥山信一及教授安田幸一等国外著名教授进行评图，本书记录了整个课程的教学思想、课程设置、课题要求、教学成果、评图讨论乃至国际教学比较以及有关中国建筑教育的反思等内容，对建筑专业学生及老师均是极有价值的一本书；本书还将有第二辑《小菜场上的家2》，记录第二届实验班学生的该课题成果，以及指导老师们的教学推进、调整，从而可以清楚地看到一个具有前沿教学实验色彩的课程如何一步步发展和积累新的经验，不断达成更高的目标。,,,
2,9.78756E+12,,,建筑教学的共性和差异,42,同济大学出版社,王方戟（著）张斌（著）水雁飞（著）,Feb-16,,,,《小菜场上的家第二辑》是同济大学建筑与城市规划学院2011级实验班2013年建筑设计作业集，包括课题说明、指导老师对课题的阐释和课程讨论情况以及学生作业。具体内容包括：指导老师王方戟撰写课程总体介绍，张斌、水雁飞、庄慎、王方戟进行了与课程相关的教学讨论，城市微更新作业及点评，教学过程中的讨论，有关教学的反思，课程作业及老师评语以及教师简介。,,,
1,9.78756E+12,,,小菜场上的家3,42,同济大学,"Design method and architctural form, Home above market. III : 2014 fall projects of 2012 CAUP special program Tongji university",May-17,,,,本书内容包括：序言：日常——建筑学的一个“零度”议题；课程介绍；作业一当代居住状况暑期调研；作业二基地调研及都市微更新设计；作业三小菜场上的家；形之获得。,,,
1,9.78756E+12,,,小菜场上的家4,45,同济大学出版社,张斌 王方戟 庄慎,Sep-18,,,,,,,
2,9.78756E+12,,,静物 Still Lite,198.1,同济大学出版社,翁佳（著）校（译）,May-18,,,,《平台》（,,,
1,,,,LIVE FEED HARVARD GSD PLATFORM 10,,,,,,,,,,,
2,9.78756E+12,,,建筑七人对谈集,69,同济大学出版社,《建筑七人对谈集》编委会,Sep-15,,,,　　《建筑七人对谈集》由七位建筑师、建筑学者两两对谈，讨论其中一方或彼此的某一个建筑作品，例如柳亦春与王方戟对谈青浦青少年活动中心，柳亦春和祝晓峰对谈朱家角人文艺术馆等；被谈论的建筑作品都是近年来落成的非常出色的作品（包括青浦青少年活动中心，安亭文体中心，桂香小筑，黎里旧宅改造，朱家角人文艺术馆等）。书中除对谈文字外，会配以对谈涉及建筑作品的照片。,,,
2,9.78756E+12,,,新集体与日常,78,同济大学出版社,金秋野(1975-)主编,Dec-14,,,,本书集结了针对当代建筑前沿、具有代表性的实际案例的评论文章多篇，以“城市空间、单体建筑、乡村实践、改造更新、理论探讨”五个主题为线索，述及本土建筑与城市发展领域的一些具有创新角度的关键议题，如互联网背景下城市商业发展的底层逻辑、单体建筑日常性的凸显、乡建热潮的本质问题、批判复盘建筑学介入文保领域的实践、数字建筑的趋势与传统建筑教学的融合等。对近年来本土建筑与城市发展趋势和内因进行评论与反思。,,,
9,9.78756E+12,,,北大园林：败壁与废墟,42,同济大学出版社,董豫赣（著）,Jan-12,,,,　　《败壁与废墟：建筑与庭园红砖美术馆》作为《北大园林》系列丛书的第一册，《败壁与废墟：建筑与庭园红砖美术馆》主要通过红砖美术馆项目，呈现作者对建筑的思考和对中国园林的研究，全书主要包括作者撰写的三章对项目缘起、设计理念、建造过程以及与中国古典园林思想的对位与转换关系的思考过程；以及一篇由专业内建筑师和建筑评论家共同参与的论坛实录所组成。,,,
2,9.78756E+12,,,中国建筑设计作品选2013-2017,268,同济大学出版社出版社,崔愷 (1957-) 主编,Mar-17,,,,本书收录204个作品，按建筑类型划分成五个大类，包括公共建筑、建筑遗产修复及改造、居住建筑、生产设施、城市设计及其他。,,,
4,9.78756E+12,,书架2 抽屉2,一粒迷楼：一百平方米老房子的改造潜力,69,同济大学出版社,张波（著）张清帆（著）,Jan-17,,,,　　《一粒迷楼》是两位建筑师关于北京一幢普通老居民楼的室内设计项目的设计、建造过程的自述。,,,
3,9.78756E+12,,,BIAD UFo建筑工作室,260,同济大学出版社,群岛工作室,Jan-15,,,,　　《BIADUFo建筑工作室》是对BIAD UFo建筑工作室十年实践和探索的梳理，采用不同于一般建筑作品集的编排方式，以全新的方式展示了中国最有创造力的职业设计力量。其内容有大视野下的数据分析，全面的影像实录，邀请北京院总经理徐全胜、建筑师王辉、建筑评论家姜珺、SOHO中国前副总裁尚世睿、《AC建筑创作》主编王舒展五位不同身份嘉宾进行多角度对谈，精选23个实践作品详细剖析，并由OMA、盖里、扎哈、KPF等合作事务所的精准点评。,,,
3,9.78756E+12,,,建筑学的属性,39,同济大学出版社,吴焕加（著）,Jun-13,,,,　　房屋建筑是人类为个体存在和社会运行、发展而创制的，必需和特殊的人造物。建筑是高端的房屋，房屋与建筑既相关联又有差别，而两者间的差别却并无确定的界线。这和一般人写字与书法创作，平常人照相与摄影艺术之间的关系相似，两者之间有差别无明确的界线。《建筑学的属性》介绍了奇妙的建筑学、建筑艺术、建筑意象等内容。,,,
1,9.78756E+12,,,同济八骏,188,同济大学出版社,同济大学 建筑与城市规划学院 编著,May-17,,,,,,,
10,9.78756E+12,,,塑料外衣：建筑塑料与外墙概览,79,同济大学出版社,胡越（著）游亚鹏（著）,Apr-16,,,,  《塑料外衣塑料建筑与外墙概览》从塑料材料的特性、类别，到具体的应用，各种数据、性能，做了*面的研究，并列举了大量实例，是一本有关塑料在建筑中的应用的*面、详尽、专业的手册，其内容大部分是基于*一手研究。《塑料外衣塑料建筑与外墙概览》由三大部分组成：*一部分为综述，主要包括《塑料外衣塑料建筑与外墙概览》的目的、结构、内容以及塑料的定义分类、成型工艺和在建筑外墙上应用的材料的主要特征和介绍；第二部分为塑料制品的分类及性能介绍，分条目罗列出各个性能参数；第三部分为大量的建筑实例索引，以所用塑料的类别而进行分类。,,,
